clip_filename,relative_path,label,duration_sec,device,split
bs_ozyegin16_clip025.wav,bird_sounds\bs_ozyegin16_clip025.wav,bird_sounds,,Zoom H4essential,train
pt_plane01_clip007.wav,public_transport\pt_plane01_clip007.wav,public_transport,2.0,Zoom H4essential,train
pt_plane02_clip005.wav,public_transport\pt_plane02_clip005.wav,public_transport,2.0,Zoom H4essential,train
ft_koru09_clip003.wav,footsteps\ft_koru09_clip003.wav,footsteps,,Zoom H4essential,train
pt_bus01_clip034.WAV,public_transport\pt_bus01_clip034.WAV,public_transport,,Zoom H4essential,train
bs_ozyegin17_clip006.wav,bird_sounds\bs_ozyegin17_clip006.wav,bird_sounds,,Zoom H4essential,train
tr_tophanelioğlu03_clip010.wav,traffic\tr_tophanelioğlu03_clip010.wav,traffic,,Zoom H4essential,train
siren_ambulance02_clip007.wav,siren\siren_ambulance02_clip007.wav,siren,2.0,Zoom H4essential,train
tr_aurangabad01_clip043.wav,traffic\tr_aurangabad01_clip043.wav,traffic,2.0,Zoom H4essential,train
wtr_tophanelioglu01_clip006.wav,wind_trees\wtr_tophanelioglu01_clip006.wav,wind_trees,,Zoom H4essential,train
ft_koru05_clip001.wav,footsteps\ft_koru05_clip001.wav,footsteps,,Zoom H4essential,train
bs_ozyegin12_clip008.wav,bird_sounds\bs_ozyegin12_clip008.wav,bird_sounds,,Zoom H4essential,train
cc_vs03_clip020.wav,crowd_chatter\cc_vs03_clip020.wav,crowd_chatter,,Zoom H4essential,train
wtr_forest01_clip030.wav,wind_trees\wtr_forest01_clip030.wav,wind_trees,2.0,Zoom H4essential,train
cc_vs08_clip009.wav,crowd_chatter\cc_vs08_clip009.wav,crowd_chatter,,Zoom H4essential,train
const_üsküdar01_clip031.wav,construction\const_üsküdar01_clip031.wav,construction,2.0,Zoom H4essential,train
cc_vs03_clip048.wav,crowd_chatter\cc_vs03_clip048.wav,crowd_chatter,,Zoom H4essential,train
const_üsküdar01_clip002.wav,construction\const_üsküdar01_clip002.wav,construction,2.0,Zoom H4essential,train
ft_koru33_clip015.wav,footsteps\ft_koru33_clip015.wav,footsteps,,Zoom H4essential,train
wtr_koru01_clip005.wav,wind_trees\wtr_koru01_clip005.wav,wind_trees,,Zoom H4essential,train
siren_tornado01_clip034.wav,siren\siren_tornado01_clip034.wav,siren,2.0,Zoom H4essential,train
